iter	Passed	Remaining
0	2	536
1	5	517
2	7	490
3	9	478
4	11	465
5	14	454
6	16	444
7	18	437
8	21	451
9	23	449
10	25	441
11	27	435
12	29	430
13	32	425
14	34	422
15	36	418
16	38	415
17	40	412
18	42	409
19	45	406
20	47	404
21	49	403
22	52	402
23	54	401
24	57	400
25	59	398
26	61	396
27	64	394
28	66	391
29	68	389
30	70	386
31	73	384
32	75	382
33	77	379
34	79	376
35	83	378
36	85	377
37	88	375
38	90	372
39	92	369
40	94	366
41	96	364
42	99	362
43	101	359
44	103	356
45	105	353
46	107	351
47	110	348
48	112	346
49	114	344
50	116	341
51	119	339
52	121	336
53	123	334
54	125	331
55	128	330
56	130	327
57	132	325
58	134	322
59	137	320
60	139	317
61	141	315
62	143	313
63	146	310
64	148	308
65	150	306
66	152	303
67	155	301
68	157	299
69	159	296
70	161	293
71	163	291
72	166	288
73	168	286
74	170	283
75	172	281
76	174	279
77	177	276
78	179	274
79	181	272
80	183	269
81	186	267
82	188	265
83	190	263
84	193	261
85	195	258
86	197	256
87	199	254
88	201	251
89	204	249
90	206	247
91	208	244
92	210	242
93	213	240
94	215	238
95	217	236
96	220	234
97	223	232
98	225	229
99	227	227
100	229	225
101	232	223
102	234	220
103	236	218
104	238	216
105	241	213
106	243	211
107	245	209
108	247	206
109	250	204
110	252	202
111	254	200
112	257	197
113	259	195
114	261	193
115	263	190
116	265	188
117	268	186
118	270	184
119	272	181
120	274	179
121	276	177
122	279	174
123	281	172
124	284	170
125	287	168
126	289	166
127	292	164
128	294	162
129	297	160
130	299	157
131	301	155
132	303	153
133	306	150
134	308	148
135	310	146
136	313	143
137	315	141
138	317	139
139	319	137
140	322	134
141	325	133
142	328	130
143	331	128
144	334	126
145	337	124
146	340	122
147	343	120
148	346	118
149	349	116
150	352	114
151	355	112
152	359	110
153	362	108
154	365	106
155	369	104
156	372	101
157	375	99
158	378	97
159	381	95
160	384	93
161	388	91
162	390	88
163	393	86
164	396	84
165	399	81
166	402	79
167	405	77
168	408	74
169	411	72
170	414	70
171	417	68
172	421	65
173	424	63
174	427	61
175	430	58
176	433	56
177	435	53
178	438	51
179	441	49
180	443	46
181	446	44
182	449	41
183	451	39
184	453	36
185	455	34
186	458	31
187	460	29
188	462	26
189	464	24
190	466	22
191	469	19
192	471	17
193	474	14
194	477	12
195	479	9
196	481	7
197	484	4
198	486	2
199	489	0
